Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
25;82;35917;12%
25;56;35699;12%
25;70;25664;8%
25;51;25278;8%
25;34;20308;7%
25;60;19637;6%
25;35;19395;6%
25;25;19301;6%
25;13;18760;6%
25;45;10918;4%
25;11;10878;4%
25;36;10420;3%
25;64;9689;3%
25;65;9433;3%
25;78;8578;3%
25;81;7332;2%
25;10;5536;2%
25;3;5444;2%
25;75;4364;1%
25;69;3500;1%
25;6;831;0%
26;82;7123;15%
26;56;6673;14%
26;70;4390;9%
26;12;3219;7%
26;35;3090;7%
26;11;2846;6%
26;34;2604;6%
26;60;2215;5%
26;25;2183;5%
26;36;2118;5%
26;51;2071;4%
26;78;1808;4%
26;6;1803;4%
26;3;1128;2%
26;81;1072;2%
26;65;1063;2%
26;13;1036;2%
26;45;998;2%
26;10;936;2%
26;75;703;2%
26;64;230;0%
26;69;211;0%
27;82;14608;13%
27;12;14080;12%
27;51;10996;9%
27;56;10706;9%
27;36;8639;7%
27;70;8529;7%
27;25;8307;7%
27;34;7926;7%
27;3;7687;7%
27;35;6241;5%
27;13;5772;5%
27;60;4883;4%
27;11;4108;4%
27;65;3076;3%
27;45;3031;3%
27;64;2784;2%
27;78;2546;2%
27;81;2484;2%
27;10;2235;2%
27;69;793;1%
27;75;637;1%
27;6;160;0%
28;56;22360;15%
28;78;21108;14%
28;82;16872;11%
28;35;10712;7%
28;70;8886;6%
28;51;7476;5%
28;11;7179;5%
28;60;6928;5%
28;36;6824;5%
28;12;6445;4%
28;34;6068;4%
28;65;5266;4%
28;13;4704;3%
28;64;4185;3%
28;75;3974;3%
28;45;3409;2%
28;6;3133;2%
28;81;2931;2%
28;10;2109;1%
28;25;1741;1%
28;69;639;0%
28;3;252;0%
29;56;11997;15%
29;82;8889;11%
29;12;8347;11%
29;70;7127;9%
29;51;6754;9%
29;13;6333;8%
29;60;5472;7%
29;35;5252;7%
29;34;5069;6%
29;45;3107;4%
29;65;2762;4%
29;11;2605;3%
29;78;2561;3%
29;25;2014;3%
29;81;1877;2%
29;69;1598;2%
29;36;1281;2%
29;64;1202;2%
29;10;954;1%
29;75;885;1%
29;3;230;0%
29;6;47;0%
30;56;102398;17%
30;82;62168;11%
30;60;53284;9%
30;34;47668;8%
30;12;47255;8%
30;70;46595;8%
30;51;39946;7%
30;35;33765;6%
30;25;32480;5%
30;11;24209;4%
30;45;22821;4%
30;65;22397;4%
30;36;19740;3%
30;64;17244;3%
30;13;14775;2%
30;10;14059;2%
30;78;13184;2%
30;81;12527;2%
30;69;6139;1%
30;75;5230;1%
30;3;720;0%
30;6;253;0%
31;82;21688;23%
31;56;12738;14%
31;70;7277;8%
31;60;7015;8%
31;6;6766;7%
31;35;5850;6%
31;12;3606;4%
31;11;3530;4%
31;51;3214;3%
31;78;3166;3%
31;45;3090;3%
31;34;3053;3%
31;36;2600;3%
31;65;2478;3%
31;81;2201;2%
31;13;2001;2%
31;25;1605;2%
31;10;1461;2%
31;3;1367;1%
31;75;734;1%
31;64;526;1%
31;69;509;1%
32;51;260356;17%
32;56;214182;14%
32;82;167484;11%
32;60;126375;8%
32;45;117632;8%
32;70;107275;7%
32;12;71750;5%
32;35;70847;5%
32;34;70052;5%
32;11;49928;3%
32;78;37930;3%
32;65;36342;2%
32;25;36279;2%
32;13;35471;2%
32;81;31830;2%
32;36;30404;2%
32;69;29713;2%
32;64;27403;2%
32;75;20837;1%
32;10;20039;1%
32;3;2880;0%
32;6;858;0%
33;12;99232;19%
33;82;68897;13%
33;56;59033;11%
33;25;57463;11%
33;13;41769;8%
33;51;41110;8%
33;70;35658;7%
33;60;30143;6%
33;34;29125;6%
33;35;27889;5%
33;11;19855;4%
33;65;17365;3%
33;45;17123;3%
33;78;14344;3%
33;64;13593;3%
33;36;11772;2%
33;81;10841;2%
33;10;7951;2%
33;69;5443;1%
33;3;4589;1%
33;75;4344;1%
33;6;305;0%
34;82;5998;12%
34;6;5148;10%
34;56;4866;9%
34;34;4181;8%
34;12;3889;8%
34;70;3863;7%
34;11;3727;7%
34;35;3222;6%
34;3;2895;6%
34;36;2779;5%
